case,dice,mean_conf_pred,max_prob,pred_vol_ml,gt_pos
BLITS_001,0.0,0.5644053220748901,0.6666595935821533,47.0,2591
BLITS_002,0.314664386489953,0.829709529876709,0.9995939135551453,2162.0,7194
BLITS_003,0.5406423758749264,0.9182026386260986,0.9999904632568359,52125.0,24310
BLITS_004,0.7922671654642571,0.9585235118865967,0.9999943971633911,2325545.0,1569689
BLITS_005,0.35000278347557606,0.7816502451896667,0.9999610185623169,555645.0,378439
BLITS_006,0.8531944632309842,0.9521799683570862,0.9999687671661377,40962.0,47754
BLITS_007,0.6668271734751035,0.9293904304504395,0.9999985694885254,127735.0,75787
BLITS_008,0.0,,0.3279103636741638,0.0,275918
BLITS_009,0.49469806898091306,0.8606944680213928,0.9987356066703796,3006.0,5953
BLITS_010,0.40779956144182467,0.8578419089317322,0.9988395571708679,2642941.0,1455033
BLITS_011,0.057352804637035265,0.6269590258598328,0.8435410261154175,2571.0,72822
BLITS_012,0.0,,0.08366550505161285,0.0,10549
BLITS_013,0.6534398076093229,0.917465329170227,0.9999992847442627,81841.0,124406
BLITS_014,0.24444897127724588,0.8109732866287231,0.994929850101471,2518.0,7300
BLITS_015,0.0,,0.02585877664387226,0.0,1181
BLITS_016,0.5871185866741446,0.9009657502174377,0.9998534917831421,104731.0,84270
BLITS_017,0.00014725685030686692,0.5105345845222473,0.525810182094574,45.0,611132
BLITS_018,0.5024153271602795,0.871451735496521,0.9989797472953796,2191972.0,1034092
BLITS_019,0.8468179054534792,0.9552645087242126,0.9999966621398926,508509.0,419119
BLITS_020,0.0,0.6810683012008667,0.9066944122314453,16367.0,790
BLITS_021,2.7925979399004998e-06,0.9011207818984985,0.9998898506164551,710948.0,5231
BLITS_022,0.0,0.5082318186759949,0.5193080306053162,10.0,2123
BLITS_023,0.7356226776230675,0.9364669919013977,0.999897837638855,89474.0,79803
BLITS_024,0.682376029327493,0.9353984594345093,0.9999896287918091,408694.0,228251
BLITS_025,0.7876449540888908,0.9326871037483215,0.9999979734420776,67090.0,72092
BLITS_026,0.0,,0.01096574030816555,0.0,754
BLITS_027,0.0,,0.006810730788856745,0.0,5090
BLITS_028,0.0,0.7773786783218384,0.9706043004989624,18005.0,298
BLITS_029,0.7133635872147316,0.9345378875732422,0.9999823570251465,405915.0,326553
BLITS_030,0.7410727330429268,0.9209398627281189,0.999995231628418,2621333.0,1909785
BLITS_031,0.0,0.5225688219070435,0.5712733864784241,15.0,23651
BLITS_032,0.8606149698273934,0.9361311793327332,0.9998517036437988,1387696.0,1383692
BLITS_033,0.6447731260967661,0.6776148080825806,0.8876923322677612,1377.0,2612
BLITS_034,0.0,0.5395304560661316,0.6420117616653442,2586.0,875
BLITS_035,0.7417632269580222,0.9555500745773315,0.9999998807907104,570330.0,373122
BLITS_036,0.5610534222968494,0.9426113367080688,0.9999998807907104,75479.0,37676
BLITS_037,0.6302638476323607,0.9275210499763489,0.9999998807907104,12682.0,10210
BLITS_038,0.23690213291892728,0.9244529008865356,0.9998756647109985,91509.0,18528
BLITS_039,0.0,,0.2163010984659195,0.0,14131
BLITS_040,0.0,,0.007025407627224922,0.0,1669
BLITS_041,0.06579630384183881,0.9098679423332214,0.9979047775268555,501206.0,36271
BLITS_042,0.33213505321773457,0.9332615733146667,0.9995643496513367,47324.0,9424
BLITS_043,0.3715238466440233,0.8809300661087036,0.997880220413208,118733.0,42904
BLITS_044,0.0,,0.11018358916044235,0.0,1422
BLITS_045,0.0,,0.002458212897181511,0.0,454
BLITS_046,0.6788134007112109,0.8716993927955627,0.9988861680030823,55051.0,51809
BLITS_047,0.6607060493170126,0.907021164894104,0.9998642206192017,347772.0,187743
BLITS_048,0.743951426724536,0.9156633615493774,0.999276340007782,132260.0,214268
BLITS_049,0.0,,0.07730841636657715,0.0,14062
BLITS_050,0.0,0.6292244791984558,0.8545815348625183,8735.0,2793
BLITS_051,0.0,0.7994115948677063,0.9816303849220276,2057.0,14252
BLITS_052,0.0,,0.45556190609931946,0.0,6736
BLITS_053,0.5418740179736796,0.9289238452911377,0.9998968839645386,166714.0,434721
BLITS_054,0.0,0.8038102984428406,0.9884138703346252,49175.0,20318
BLITS_055,0.05679413356956543,0.6104423403739929,0.7912570834159851,1154.0,39484
BLITS_056,0.004514672686230248,0.561338484287262,0.6402704119682312,81.0,14981
BLITS_057,0.007027964906581692,0.7337315082550049,0.996292769908905,38893.0,348986
BLITS_058,0.7780640222767037,0.9459846019744873,0.9999874830245972,2097208.0,1516253
BLITS_059,0.5411234054549299,0.8923372626304626,0.9999043941497803,47788.0,122480
BLITS_060,0.0,,0.006679879035800695,0.0,1638
BLITS_061,0.0,0.6085031032562256,0.7773420810699463,607.0,7337
BLITS_062,0.462034575263181,0.8182460069656372,0.9991238713264465,64883.0,185990
BLITS_063,0.18110749185667752,0.6782006025314331,0.8806945085525513,15416.0,4539
BLITS_064,0.05245973968674167,0.7721680998802185,0.9952907562255859,3914.0,41416
BLITS_065,0.8749378006302869,0.9702680110931396,0.9999998807907104,36870.0,35478
BLITS_066,0.11956268383373106,0.8005265593528748,0.9999929666519165,82080.0,8015
BLITS_067,0.0,0.8141608834266663,0.9820137619972229,2615.0,540
BLITS_068,0.1295373665480427,0.8684830069541931,0.9971550703048706,22276.0,3014
BLITS_069,0.8342457904367595,0.9536969065666199,0.9999998807907104,145620.0,124895
BLITS_070,0.7995266124762528,0.9648492932319641,0.999997615814209,13813.0,18296
BLITS_071,0.3709038530788621,0.9028885960578918,0.9988686442375183,516.0,2261
BLITS_072,0.0,,0.1478625386953354,0.0,513
BLITS_073,0.0,0.8459414839744568,0.9912378191947937,135492.0,2797
BLITS_074,0.7277069825569595,0.8554053902626038,0.9974689483642578,199798.0,268297
BLITS_075,0.141027445460943,0.6698673963546753,0.8854829668998718,501.0,6604
BLITS_076,0.0,0.7191682457923889,0.8998278379440308,70724.0,1443
BLITS_077,0.0,,0.12283853441476822,0.0,697
BLITS_078,0.7006140860731344,0.9347423911094666,0.9999805688858032,47675.0,31467
BLITS_079,0.5572239561573812,0.9521346688270569,0.9999991655349731,29323.0,11368
BLITS_080,0.720754716981132,0.9289920926094055,0.9999704360961914,3444.0,2916
BLITS_081,0.0,,0.21395142376422882,0.0,3196
BLITS_082,0.13002364066193853,0.7618553638458252,0.9603983759880066,158.0,688
BLITS_083,0.9031288218507949,0.9667642712593079,0.999982476234436,213387.0,179093
BLITS_084,0.0,,0.008156249299645424,0.0,1670
BLITS_085,0.3169642857142857,0.8428831696510315,0.9999535083770752,803.0,2333
BLITS_086,0.0,0.7399759292602539,0.9269675612449646,20306.0,525
BLITS_087,0.15734834271419637,0.7745240926742554,0.9998169541358948,51077.0,4888
BLITS_088,0.6031575555794222,0.8767092227935791,0.9992114305496216,6198.0,3113
BLITS_089,0.7589446168926646,0.9514682292938232,0.999976396560669,41030.0,32422
BLITS_090,0.6170706244180469,0.8900718688964844,0.9991735816001892,56540.0,120665
BLITS_091,0.7892300371795182,0.9281718134880066,0.9996243715286255,105245.0,142741
BLITS_092,0.7995250184260093,0.917326033115387,0.9999934434890747,26480.0,22364
BLITS_093,0.0,,0.04356881231069565,0.0,592
BLITS_094,0.19845252310516906,0.8005262613296509,0.9964756369590759,107737.0,37144
BLITS_095,0.7143800924906408,0.9198097586631775,0.9992175102233887,1838.0,2703
BLITS_096,0.788404317541341,0.911484956741333,0.9999929666519165,276667.0,193508
BLITS_097,0.7203236452677526,0.9442963600158691,0.9999998807907104,5159.0,4234
BLITS_098,0.39406831165674,0.8825408220291138,0.9999414682388306,4189.0,12265
BLITS_099,0.521752641392169,0.8796859383583069,0.9998717308044434,3787.0,9085
BLITS_100,0.5418884753694194,0.9088833928108215,0.9999912977218628,42854.0,20827
BLITS_101,0.913866218362254,0.9702906012535095,0.9999997615814209,83638.0,88269
BLITS_102,0.30805525376377463,0.9049807786941528,0.999984860420227,27085.0,5130
BLITS_103,0.7853829700977172,0.9564234018325806,0.9999924898147583,216055.0,141610
BLITS_104,0.0,,0.023621806874871254,0.0,98
BLITS_105,0.7089292072157607,0.879295825958252,0.9999297857284546,806855.0,541305
BLITS_106,0.0,0.6352550387382507,0.854884684085846,433.0,15544
BLITS_107,0.0,,0.01828179694712162,0.0,6051
BLITS_108,0.7703473368294284,0.8762724995613098,0.9949690699577332,216670.0,254141
BLITS_109,0.4451467160125928,0.9286689162254333,0.9999740123748779,61043.0,22179
BLITS_110,0.018112662020954826,0.8862346410751343,0.997231662273407,34101.0,250893
BLITS_111,0.0,0.8601361513137817,0.9914474487304688,74248.0,2632
BLITS_112,0.15730361405350987,0.7377824783325195,0.998245358467102,390916.0,348088
BLITS_113,0.5368479315904734,0.8985993266105652,0.9998915195465088,62136.0,62525
BLITS_114,0.0,0.6928966045379639,0.9116528034210205,5417.0,2581
BLITS_115,0.4850446460258649,0.9397681355476379,0.9999804496765137,29910.0,40533
BLITS_116,0.7494167009837068,0.9166666269302368,0.9999469518661499,1112941.0,725310
BLITS_117,0.7967951031807863,0.9414419531822205,0.9999992847442627,826415.0,608639
BLITS_118,0.0,,0.046076804399490356,0.0,12253
