case,dice,hd95,assd,vol_gt_vox,vol_pred_vox,empty_pred
BIRCAD_001,0.8198,56.48,8.59,214268,171936,False
BIRCAD_002,0.0,nan,nan,14062,0,True
BIRCAD_003,0.0,nan,nan,14252,0,True
BIRCAD_004,0.1586,97.5,43.31,6736,10903,False
BIRCAD_005,0.4901,81.48,22.52,434721,147013,False
BIRCAD_006,0.0,80.76,52.48,20318,12179,False
BIRCAD_007,0.8558,5.47,2.75,39484,33660,False
BIRCAD_008,0.48,65.76,18.66,14981,5537,False
BIRCAD_009,0.0,nan,nan,348986,0,True
BIRCAD_010,0.5838,44.21,11.58,122480,54212,False
BIRCAD_011,0.0,nan,nan,1638,0,True
BIRCAD_012,0.0,59.74,49.6,7337,239,False
BIRCAD_013,0.4575,95.97,31.63,185990,55608,False
BIRCAD_014,0.0,45.86,38.34,4539,321,False
BIRCAD_015,0.0501,56.74,33.64,41416,1064,False
