case,dice,hd95,assd,vol_gt_vox,vol_pred_vox,empty_pred
BLITS_001,0.0085,53.63,28.92,2591,6096,False
BLITS_002,0.1018,60.02,21.79,7194,32523,False
BLITS_003,0.2379,69.13,31.69,24310,150794,False
BLITS_004,0.6963,54.39,12.34,1569689,2818658,False
BLITS_005,0.3953,96.26,23.07,378439,638188,False
BLITS_006,0.1837,208.37,84.99,47754,412722,False
BLITS_007,0.5256,112.12,23.25,75787,89683,False
BLITS_008,0.0001,76.04,35.1,275918,27085,False
BLITS_009,0.3933,209.98,58.26,5953,9918,False
BLITS_010,0.3828,22.17,6.67,1455033,3588170,False
BLITS_011,0.0124,55.88,24.06,72822,313860,False
BLITS_012,0.0124,96.09,48.77,10549,247653,False
BLITS_013,0.5497,54.73,10.36,124406,167088,False
BLITS_014,0.0277,144.21,77.98,7300,168360,False
BLITS_015,0.0453,108.66,69.47,1181,10660,False
BLITS_016,0.3003,71.86,20.16,84270,261007,False
BLITS_017,0.1613,104.79,38.93,611132,323254,False
BLITS_018,0.3595,36.84,13.17,1034092,3942032,False
BLITS_019,0.7632,17.23,7.33,419119,621369,False
BLITS_020,0.0,170.97,109.2,790,82829,False
BLITS_021,0.0003,224.29,158.68,5231,489059,False
BLITS_022,0.0,374.9,158.88,2123,135208,False
BLITS_023,0.2802,107.0,47.08,79803,273148,False
BLITS_024,0.4891,115.79,30.32,228251,668096,False
BLITS_025,0.5985,74.3,14.82,72092,146930,False
BLITS_026,0.0,240.33,139.87,754,105709,False
BLITS_027,0.0,155.78,108.86,5090,63557,False
BLITS_028,0.0,425.58,184.38,298,70930,False
BLITS_029,0.2635,49.65,16.54,326553,1877585,False
BLITS_030,0.5052,27.45,12.45,1909785,4776365,False
BLITS_031,0.0141,129.71,44.66,23651,298661,False
BLITS_032,0.7987,16.13,4.84,1383692,1611933,False
BLITS_033,0.0319,90.35,54.04,2612,88668,False
BLITS_034,0.0,111.78,65.09,875,159648,False
BLITS_035,0.6565,55.73,8.21,373122,705077,False
BLITS_036,0.25,211.44,99.4,37676,221647,False
BLITS_037,0.2411,107.18,36.03,10210,40152,False
BLITS_038,0.0631,122.91,38.2,18528,384238,False
BLITS_039,0.0,137.83,81.07,14131,159830,False
BLITS_040,0.0023,131.81,77.98,1669,190979,False
BLITS_041,0.0817,221.55,134.7,36271,448991,False
BLITS_042,0.2791,51.43,19.53,9424,53384,False
BLITS_043,0.1362,106.69,48.67,42904,480241,False
BLITS_044,0.0,182.97,97.79,1422,25262,False
BLITS_045,0.0,139.61,57.52,454,7888,False
BLITS_046,0.1983,49.87,10.76,51809,92112,False
BLITS_047,0.4685,61.09,13.77,187743,441128,False
BLITS_048,0.7167,36.07,10.74,214268,171935,False
BLITS_049,0.0022,146.66,66.7,14062,16465,False
BLITS_050,0.0,282.58,176.68,2793,127441,False
BLITS_051,0.0173,204.27,72.55,14252,85393,False
BLITS_052,0.0642,105.16,35.83,6736,2393,False
BLITS_053,0.6134,52.67,12.66,434721,293912,False
BLITS_054,0.0002,110.28,47.16,20318,50530,False
BLITS_055,0.1228,104.03,33.76,39484,12909,False
BLITS_056,0.0001,49.57,33.56,14981,15896,False
BLITS_057,0.0019,154.78,51.08,348986,8756,False
BLITS_058,0.6433,34.45,12.21,1516253,2225086,False
BLITS_059,0.4791,50.71,12.74,122480,68172,False
BLITS_060,0.0,86.49,63.77,1638,16423,False
BLITS_061,0.0,113.62,62.38,7337,172437,False
BLITS_062,0.2017,60.36,21.79,185990,58753,False
BLITS_063,0.0273,152.35,77.85,4539,171332,False
BLITS_064,0.0087,128.41,55.22,41416,468,False
BLITS_065,0.8028,100.76,18.97,35478,43520,False
BLITS_066,0.1625,79.63,37.19,8015,66948,False
BLITS_067,0.0,188.55,134.69,540,145202,False
BLITS_068,0.5822,22.73,5.42,3014,4894,False
BLITS_069,0.6573,65.61,11.88,124895,229003,False
BLITS_070,0.3753,59.12,24.78,18296,67176,False
BLITS_071,0.0821,205.39,127.02,2261,22558,False
BLITS_072,0.0,154.18,112.15,513,15544,False
BLITS_073,0.0,288.12,185.02,2797,85280,False
BLITS_074,0.696,195.01,24.47,268297,288091,False
BLITS_075,0.095,60.25,32.15,6604,12142,False
BLITS_076,0.0,234.21,147.16,1443,119369,False
BLITS_077,0.0,287.55,155.69,697,5807,False
BLITS_078,0.1978,66.55,32.58,31467,252203,False
BLITS_079,0.1317,206.26,122.63,11368,160877,False
BLITS_080,0.2566,183.0,60.55,2916,16637,False
BLITS_081,0.0,160.45,83.39,3196,3921,False
BLITS_082,0.0011,346.26,140.29,688,62073,False
BLITS_083,0.8219,99.09,15.12,179093,226424,False
BLITS_084,0.0,78.5,53.93,1670,4704,False
BLITS_085,0.1111,72.54,47.54,2333,4456,False
BLITS_086,0.0,252.54,138.98,525,16023,False
BLITS_087,0.0254,152.3,90.12,4888,229289,False
BLITS_088,0.0114,105.37,42.23,3113,46045,False
BLITS_089,0.1298,67.68,34.9,32422,399246,False
BLITS_090,0.4533,112.42,19.53,120665,145133,False
BLITS_091,0.6383,45.48,9.71,142741,134973,False
BLITS_092,0.6325,65.5,9.6,22364,44929,False
BLITS_093,0.0235,153.75,73.86,592,7850,False
BLITS_094,0.0,206.73,92.86,37144,242226,False
BLITS_095,0.0086,135.23,100.4,2703,49290,False
BLITS_096,0.6791,11.05,3.92,193508,277473,False
BLITS_097,0.052,153.59,84.89,4234,56699,False
BLITS_098,0.0393,233.06,55.3,12265,132814,False
BLITS_099,0.3004,109.43,27.38,9085,4985,False
BLITS_100,0.1066,85.74,50.37,20827,317001,False
BLITS_101,0.8834,5.73,3.29,88269,97801,False
BLITS_102,0.0064,154.95,85.92,5130,8688,False
BLITS_103,0.681,90.16,18.38,141610,240119,False
BLITS_104,0.0,328.78,154.68,98,63332,False
BLITS_105,0.3332,93.55,21.92,541305,2335529,False
BLITS_106,0.0,157.47,90.1,15544,170702,False
BLITS_107,0.0,123.64,72.76,6051,79656,False
BLITS_108,0.5709,31.52,12.73,254141,346036,False
BLITS_109,0.1277,73.04,29.05,22179,274448,False
BLITS_110,0.3252,63.17,17.81,250893,181883,False
BLITS_111,0.0013,318.37,134.66,2632,16901,False
BLITS_112,0.2408,41.79,13.76,348088,1215074,False
BLITS_113,0.1849,91.8,40.53,62525,315202,False
BLITS_114,0.0,205.09,140.69,2581,363012,False
BLITS_115,0.0734,269.23,79.28,40533,450420,False
BLITS_116,0.4909,15.65,7.74,725310,1918744,False
BLITS_117,0.7495,314.62,33.58,608639,841875,False
BLITS_118,0.0,65.89,46.22,12253,145,False
